date,visitors_pool_total,sportbad_closed,freizeitbad_closed,sauna_closed,kursbecken_closed,event,price_adult_90min,price_adult_max,price_reduced_90min,price_reduced_max,sloop_dummy,sloop_days_since_opening,school_holiday,bank_holiday,yr,month,day,air_humidity_UniOS,air_pressure_UniOS,global_solar_radiation_UniOS,temperature_UniOS,wind_speed_avg_UniOS,wind_speed_max_UniOS,wind_direction_category_UniOS,air_humidity_DWD,air_temperature_daily_max_DWD,air_temperature_daily_mean_DWD,air_temperature_daily_min_DWD,precipitation_DWD,snow_height_DWD,sunshine_hours_DWD,wind_speed_max_DWD
2005-03-20,915,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,3.0,20,NA,NA,NA,NA,NA,NA,NA,69,8.9,4.4,0.2,0.0,0,11.1,7.6
2005-03-21,1057,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,3.0,21,NA,NA,NA,NA,NA,NA,NA,58,13.2,6.2,-0.3,0.0,0,11.3,9.7
2005-03-22,1482,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,3.0,22,NA,NA,NA,NA,NA,NA,NA,52,18.0,10.6,3.0,3.3,0,8.6,9.2
2005-03-23,1883,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,3.0,23,NA,NA,NA,NA,NA,NA,NA,79,17.6,12.5,7.2,0.0,0,8.4,8.2
2005-03-24,1790,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,3.0,24,NA,NA,NA,NA,NA,NA,NA,71,20.1,13.3,6.4,4.3,0,7.9,8.6
2005-03-25,2193,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,3,2005.0,3.0,25,NA,NA,NA,NA,NA,NA,NA,89,15.5,11.6,9.1,2.2,0,1.6,8.5
2005-03-26,1481,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,3.0,26,NA,NA,NA,NA,NA,NA,NA,91,14.0,10.0,6.6,0.0,0,3.2,6.9
2005-03-27,865,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,3.0,27,NA,NA,NA,NA,NA,NA,NA,86,15.0,10.3,6.6,0.0,0,3.5,8.5
2005-03-28,1942,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,3,2005.0,3.0,28,NA,NA,NA,NA,NA,NA,NA,89,13.5,10.5,8.7,2.0,0,0.5,6.6
2005-03-29,2753,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,3.0,29,NA,NA,NA,NA,NA,NA,NA,91,13.3,10.2,8.0,0.0,0,0.3,8.4
2005-03-30,3160,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,3.0,30,NA,NA,NA,NA,NA,NA,NA,66,14.1,9.7,7.0,0.0,0,4.8,12.3
2005-03-31,3135,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,3.0,31,NA,NA,NA,NA,NA,NA,NA,55,13.8,7.9,2.3,0.0,0,12.1,9.9
2005-04-01,2054,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,4.0,1,NA,NA,NA,NA,NA,NA,NA,49,15.2,8.4,1.1,0.0,0,12.4,9.1
2005-04-02,1529,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,3,0,2005.0,4.0,2,NA,NA,NA,NA,NA,NA,NA,44,17.0,10.3,1.5,0.0,0,12.5,10.8
2005-04-03,1699,0,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,2005.0,4.0,3,NA,NA,NA,NA,NA,NA,NA,40,20.9,13.1,2.8,0.0,0,12.3,7.1
